percent_share,expected_share,RCA,iso_3digit_alpha,country_name_full,product_description
3.92033,0.00341,1149,AFG,Afghanistan,"Figs, dried"
5.18481,0.00525,987,AFG,Afghanistan,"Natural gums, resins, balsam and lacs"
5.61527,0.01065,527,AFG,Afghanistan,"Grapes, dried (raisins)"
2.37351,0.00584,407,AFG,Afghanistan,Natural steatite; talc
0.03145,8.00E-05,403,AFG,Afghanistan,"Other coarse hair, not carded or combed"
0.19358,0.00065,300,AFG,Afghanistan,"Waste of wool and of other animal hair, n.e.s"
0.94555,0.0045,210,AFG,Afghanistan,"Cotton, carded or combed"
1.20746,0.00588,205,AFG,Afghanistan,"Seeds of anise, badian, fennel, coriander, cumin et"
0.15354,0.00086,178,AFG,Afghanistan,"Cotton yarn and thread, put up for retail sale"
0.28046,0.00183,153,AFG,Afghanistan,"Articles of lead, n.e.s."
8.08409,0.04552,178,ALB,Albania,"Uppers, legs & other prepared parts of footwear"
2.09787,0.01599,131,ALB,Albania,Ores & concentrates of chromium
0.1991,0.00172,116,ALB,Albania,"Head bands, linings, etc."
1.39184,0.01783,78,ALB,Albania,"Plants, seeds, flowers used in perfumery/pharmac."
0.16149,0.00221,73,ALB,Albania,Calf skins and kip skins
5.34444,0.16085,33,ALB,Albania,Other ferro alloys
0.19191,0.00659,29,ALB,Albania,Building bricks
13.46599,0.54637,25,ALB,Albania,Footwear with soles of leather/rubber/plastic
1.11405,0.05001,22,ALB,Albania,"Tomatoes, fresh"
0.26201,0.01256,21,ALB,Albania,Marble and other calcareous monu. or build. Stone
0.54248,0.01411,38,DZA,Algeria,"Oxygen, nitrogen, hydrogen, rare gases"
0.3256,0.01081,30,DZA,Algeria,"Tropical fruit, dried"
0.9711,0.03656,27,DZA,Algeria,"Ammonia, anhydrous or in aqueous solution"
33.82731,1.70342,20,DZA,Algeria,"Gas, natural"
2.35115,0.13686,17,DZA,Algeria,Nitrogenous fertilizers and materials n.e.s
0.25726,0.01798,14,DZA,Algeria,"Natural phosphates, whether or not ground"
0.02017,0.00148,14,DZA,Algeria,"Cork, unworked, crushed, granulated; waste cork"
0.53153,0.05735,9,DZA,Algeria,"Refined sugar & other prod. of refining, no syrup"
40.16495,5.5729,7,DZA,Algeria,Crude petroleum
0.03935,0.00582,7,DZA,Algeria,"Vegetable products, fresh or dried, n.e.s."
43.51922,0.03928,1108,ASM,American Samoa,"Meat & fish meal, unfit for human consumption"
6.84654,0.01195,573,ASM,American Samoa,Oils of fish and marine mammals
0.68278,0.02222,31,ASM,American Samoa,Road rail and similar containers
1.18809,0.04746,25,ASM,American Samoa,Heavy plates/sheets/universals of alloy steel
0.04387,0.00194,23,ASM,American Samoa,Improved wood
4.53548,0.20284,22,ASM,American Samoa,Iron & steel scrap
